Domain,Subdomain,Source Type,Official URL / Local Path,Downloaded,HTML File,Text File,Pages Extracted,Knowledge Status
DLD,Property Sale Registration,official,https://dubailand.gov.ae/en/eservices/property-sale-registration/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Property_Sale_Registration.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Property_Sale_Registration.txt,1,downloaded
DLD,Sale of Mortgaged Property,official,https://dubailand.gov.ae/en/eservices/registering-the-sale-of-a-mortgaged-property/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Sale_of_Mortgaged_Property.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Sale_of_Mortgaged_Property.txt,1,downloaded
DLD,Mortgage Registration,official,https://dubailand.gov.ae/en/eservices/request-for-mortgage-registration/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Mortgage_Registration.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Mortgage_Registration.txt,1,downloaded
DLD,Mortgage Release,official,https://dubailand.gov.ae/en/eservices/request-for-mortgage-termination/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Mortgage_Release.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Mortgage_Release.txt,1,downloaded
DLD,Project Registration / Oqood,official,https://dubailand.gov.ae/en/eservices/register-project/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Project_Registration_Oqood.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Project_Registration_Oqood.txt,1,downloaded
DLD,Initial Sale Registration / Oqood,official,https://dubailand.gov.ae/en/eservices/request-to-register-the-initial-sale/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Initial_Sale_Registration_Oqood.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Initial_Sale_Registration_Oqood.txt,1,downloaded
DLD,Amend Initial Procedures Data,official,https://dubailand.gov.ae/en/eservices/request-to-amend-the-initial-procedures-data/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Amend_Initial_Procedures_Data.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Amend_Initial_Procedures_Data.txt,1,downloaded
DLD,Complete Initial Procedures Data,official,https://dubailand.gov.ae/en/eservices/request-to-complete-the-initial-procedures-data/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Complete_Initial_Procedures_Data.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Complete_Initial_Procedures_Data.txt,1,downloaded
DLD,Transfer Registration Fees Between Properties,official,https://dubailand.gov.ae/en/eservices/request-for-transferring-registration-fees-from-one-property-to-another/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Transfer_Registration_Fees_Between_Properties.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Transfer_Registration_Fees_Between_Properties.txt,1,downloaded
DLD,Dubai REST,official,https://dubailand.gov.ae/en/eservices/dubai-rest/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Dubai_REST.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Dubai_REST.txt,1,downloaded
DLD,RVS Complaint Overview,official,https://dubailand.gov.ae/en/eservices/rvs-violation-complaint-overview/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__RVS_Complaint_Overview.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__RVS_Complaint_Overview.txt,1,downloaded
DLD,RVS Complaint Tracking,official,https://dubailand.gov.ae/en/eservices/rvs-case-tracking/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__RVS_Complaint_Tracking.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__RVS_Complaint_Tracking.txt,1,downloaded
DLD,Electronic No Objection Certification (eNOC),official,https://dubailand.gov.ae/en/about-dubai-land-department/electronic-no-objection-certification-enoc/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Electronic_No_Objection_Certification_eNOC.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Electronic_No_Objection_Certification_eNOC.txt,1,downloaded
DLD,Company Registration Application,official,https://dubailand.gov.ae/en/eservices/request-to-register-companies/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Company_Registration_Application.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Company_Registration_Application.txt,1,downloaded
DLD,Real Estate Activity License / Trakheesi,official,https://dubailand.gov.ae/en/eservices/real-estate-activity-license/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Real_Estate_Activity_License_Trakheesi.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Real_Estate_Activity_License_Trakheesi.txt,1,downloaded
DLD,Verify License and Permits / Trakheesi,official,https://dubailand.gov.ae/en/eservices/validate-real-estate-licenses-and-permits/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Verify_License_and_Permits_Trakheesi.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Verify_License_and_Permits_Trakheesi.txt,1,downloaded
DLD,API Gateway / Trakheesi platform,official,https://dubailand.gov.ae/en/eservices/api-gateway/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__API_Gateway_Trakheesi_platform.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__API_Gateway_Trakheesi_platform.txt,1,downloaded
DLD,Approved Real Estate Developers,official,https://dubailand.gov.ae/en/eservices/approved-real-estate-developers/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__Approved_Real_Estate_Developers.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__Approved_Real_Estate_Developers.txt,1,downloaded
DLD,All Services,official,https://dubailand.gov.ae/en/eservices/all-services/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/DLD__All_Services.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/DLD__All_Services.txt,1,downloaded
ICP,Issuing Residency Permit,official,https://icp.gov.ae/en/services-details/?serviceid=64afe3c1035448005bd52e64,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/ICP__Issuing_Residency_Permit.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/ICP__Issuing_Residency_Permit.txt,1,downloaded
ICP,Renewal of residency permits,official,https://icp.gov.ae/en/services-details/?serviceid=64afe3c1035448005bd52e66,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/ICP__Renewal_of_residency_permits.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/ICP__Renewal_of_residency_permits.txt,1,downloaded
ICP,Cancellation of residency permits,official,https://icp.gov.ae/en/services-details/?serviceid=64afe3c1035448005bd52e68,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/ICP__Cancellation_of_residency_permits.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/ICP__Cancellation_of_residency_permits.txt,1,downloaded
ICP,Golden Residency,official,https://icp.gov.ae/en/services/golden-residency/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/ICP__Golden_Residency.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/ICP__Golden_Residency.txt,1,downloaded
ICP,Green Residency,official,https://icp.gov.ae/en/green-residency/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/ICP__Green_Residency.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/ICP__Green_Residency.txt,1,downloaded
GDRFA,Residency Visa,official,https://gdrfad.gov.ae/en/services/71ea8dd6-56c3-11ea-0320-0050569629e8,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/GDRFA__Residency_Visa.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/GDRFA__Residency_Visa.txt,1,downloaded
GDRFA,Issuance of a Visa,official,https://gdrfad.gov.ae/en/services-details/?serviceid=64afe3c1035448005bd52e60,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/GDRFA__Issuance_of_a_Visa.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/GDRFA__Issuance_of_a_Visa.txt,1,downloaded
GDRFA,Issuance of a visit visa,official,https://www.gdrfad.gov.ae/en/services/372ff58d-b68c-11ed-5210-4cd98f768936,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/GDRFA__Issuance_of_a_visit_visa.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/GDRFA__Issuance_of_a_visit_visa.txt,1,downloaded
Mortgages,Mortgage registration application,official,https://dubailand.gov.ae/en/eservices/request-for-mortgage-registration/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/Mortgages__Mortgage_registration_application.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/Mortgages__Mortgage_registration_application.txt,1,downloaded
Mortgages,Mortgage release application,official,https://dubailand.gov.ae/en/eservices/request-for-mortgage-termination/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/Mortgages__Mortgage_release_application.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/Mortgages__Mortgage_release_application.txt,1,downloaded
Mortgages,Mortgage transfer application,official,https://dubailand.gov.ae/en/eservices/request-for-mortgage-transfer/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/Mortgages__Mortgage_transfer_application.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/Mortgages__Mortgage_transfer_application.txt,1,downloaded
Mortgages,Mortgage amendment application,official,https://dubailand.gov.ae/en/eservices/request-for-mortgage-amendment/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/Mortgages__Mortgage_amendment_application.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/Mortgages__Mortgage_amendment_application.txt,1,downloaded
Mortgages,Sale associated with initial mortgage,official,https://dubailand.gov.ae/en/eservices/a-sale-registration-application-associated-with-an-initial-mortgage/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/Mortgages__Sale_associated_with_initial_mortgage.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/Mortgages__Sale_associated_with_initial_mortgage.txt,1,downloaded
NOC,Developer eNOC / freehold transfer,official,https://dubailand.gov.ae/en/about-dubai-land-department/electronic-no-objection-certification-enoc/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/NOC__Developer_eNOC_freehold_transfer.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/NOC__Developer_eNOC_freehold_transfer.txt,1,downloaded
NOC,Project NOC for off-plan registration,official,https://dubailand.gov.ae/en/eservices/register-project/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/NOC__Project_NOC_for_off_plan_registration.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/NOC__Project_NOC_for_off_plan_registration.txt,1,downloaded
Local,Nakheel Online Service.pdf,local,/Users/hassanka/Downloads/Nakheel Online Service.pdf,YES,/Users/hassanka/Downloads/Nakheel Online Service.pdf,/Users/hassanka/Downloads/Nakheel Online Service.pdf,1,stored
Local,Title Deed.pdf,local,/Users/hassanka/Downloads/Title Deed.pdf,YES,/Users/hassanka/Downloads/Title Deed.pdf,/Users/hassanka/Downloads/Title Deed.pdf,1,stored
Local,Lease Agreement.pdf,local,/Users/hassanka/Downloads/Lease Agreement.pdf,YES,/Users/hassanka/Downloads/Lease Agreement.pdf,/Users/hassanka/Downloads/Lease Agreement.pdf,1,stored
Local,Wasender_HSH_Main_support_package.md,local,/Users/hassanka/Downloads/Wasender_HSH_Main_support_package.md,YES,/Users/hassanka/Downloads/Wasender_HSH_Main_support_package.md,/Users/hassanka/Downloads/Wasender_HSH_Main_support_package.md,1,stored
Local,AIOS_Operations_Brain.xlsx,local,/Users/hassanka/Downloads/AIOS/KnowledgeBase/AIOS_Operations_Brain.xlsx,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/AIOS_Operations_Brain.xlsx,/Users/hassanka/Downloads/AIOS/KnowledgeBase/AIOS_Operations_Brain.xlsx,1,stored
RERA,RERA Landing Page,official,https://dubailand.gov.ae/en/rera,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/RERA__RERA_Landing_Page.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/RERA__RERA_Landing_Page.txt,1,downloaded
RERA,RVS Complaint Overview,official,https://dubailand.gov.ae/en/eservices/rvs-violation-complaint-overview/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/RERA__RVS_Complaint_Overview.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/RERA__RVS_Complaint_Overview.txt,1,downloaded
RERA,RVS Complaint Tracking,official,https://dubailand.gov.ae/en/eservices/rvs-case-tracking/,YES,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/html/RERA__RVS_Complaint_Tracking.html,/Users/hassanka/Downloads/AIOS/KnowledgeBase/Operations_Corpus/text/RERA__RVS_Complaint_Tracking.txt,1,downloaded
