building,unit,area,bedrooms,price,size,developer,status
Seven Hotel & Apts The Palm,461,Palm Jumeirah,0,1454386,,Seven Tides,Ready
Address Harbour Point T2,6401,Creek Harbour,4,14000000,,Emaar,Ready
Five Luxe,2804,JBR,3,11500000,,Devco,Ready
Vida Dubai Mall T2,3201,Downtown,2,4500000,,Emaar,Ready
Burj Crown,1003,Burj Khalifa,2,3000000,,Emaar,Ready
Burj Crown,2507,Burj Khalifa,3,4000000,,Emaar,Ready
Marina Vista T2,3002,Beach Front,3,7200000,,Emaar,Ready
Sunrise Bay T1,1207,Beach Front,3,7500000,,Emaar,Ready
Sunrise Bay T1,1008,Beach Front,2,5500000,,Emaar,Ready
Sunrise Bay T1,1308,Beach Front,2,5500000,,Emaar,Ready
La Vie,1807,Marsa Dubai,3,10000000,,Dubai Properties,Ready
Bluewaters Island B2,505,Bluewaters,2,8000000,,Meraas,Ready
Bluewaters Island B9,1004,Bluewaters,3,10500000,,Meraas,Ready
Address JBR T1,3101,JBR,3,11000000,,Hamptons,Ready
Murjan 3,2101,JBR,4,6000000,,Meraas,Ready
Murjan 1,1508,JBR,3,4500000,,Meraas,Ready
Murjan 1,4301,JBR,2,3500000,,Meraas,Ready
Grand Bleu Tower T2,1709,Beach Front,1,3600000,,Emaar,Ready
Grand Bleu Tower T2,2101,Beach Front,1,3600000,,Emaar,Ready
Grand Blue Tower T2,2108,Beach Front,1,3600000,,Emaar,Ready
Palm Jumeirah,N68B,Palm Jumeirah,5,48000000,9800,Nakheel,Ready
Sidra 3,V265,Dubai Hills Estate,5,15500000,6011,Emaar,Ready
Sidra 3,V174,Dubai Hills Estate,4,15000000,4903,Emaar,Ready
District One Phase III,604,District One,3,4700000,,Nakheel,Ready
District One Phase III,G045,District One,5,23000000,8439,Nakheel,
District One Phase 3B,G044,District One,5,25000000,8348,Nakheel,Ready
District One Phase III,F069,District One,5,25000000,6741,Nakheel,Off Plan
Golf Place,V201,Dubai Hills Estate,5,25000000,7674,Emaar,Ready
Golf Place,V176,Dubai Hills Estate,6,42000000,12353,Emaar,Off Plan
Golf Place II,V67,Dubai Hills Estate,4,20000000,7141,Emaar,Off Plan
Golf Place II,V242,Dubai Hills Estate,6,42000000,10083,Emaar,Off Plan
Parkway Vistas,V161,Dubai Hills Estate,6,73000000,,Emaar,Off Plan
Golf Grand,321,Dubai Hills Estate,2,2371477,,Emaar,Off Plan
Golf Grand,404,Dubai Hills Estate,2,2460577,,Emaar,Off Plan
Creek Waters,2609,Lagoons,3,4605577,,Emaar,Off Plan
Creek Waters,2610,Lagoons,2,3226177,,Emaar,Off Plan
Address Hillcrest,V16,Dubai Hills Estate,5,28024310,10372,Emaar,Off Plan
Address Hillcrest,V53,Dubai Hills Estate,5,27660070,10372,Emaar,Ready
Address Hillcrest,V23,Dubai Hills Estate,5,27426910,10372,Emaar,Off Plan
Address Hillcrest,V26,Dubai Hills Estate,5,27426910,10372,Emaar,Off Plan
Address Hillcrest,V83,Dubai Hills Estate,5,27642670,9918,Emaar,Off Plan
Address Hillcrest,V117,Dubai Hills Estate,5,27431550,10372,Emaar,Ready
Park Gate,V22,Dubai Hills Estate,5,14748052,7918,Emaar,Off Plan
Park Gate,V86,Dubai Hills Estate,4,12598012,4995,Emaar,Off Plan
Rove Home Residences,706,Downtown,0,1489102,,Irth Development,Off Plan
Rove Home Residences,710,Downtown,0,1485751,,Irth Development,Off Plan
Rove Home Residences,715,Downtown,0,1387437,,Irth Development,Off Plan
Rove Home Residences,718,Downtown,0,1387437,,Irth Development,Off Plan
Rove Home Residences,915,Downtown,0,1405312,,Irth Development,Off Plan
Rove Home Residences,1015,Downtown,0,1415367,,Irth Development,Off Plan
Rove Home Residences,1017,Downtown,0,1423187,,Irth Development,Off Plan
Rove Home Residences,1018,Downtown,0,1415367,,Irth Development,Off Plan
Rove Home Residences,1317,Downtown,0,1451117,,Irth Development,Off Plan
Rove Home Residences,1318,Downtown,0,1442180,,Irth Development,Off Plan
Address The Bay,201,Beach Front,1,4522388,,Emaar,Off Plan
Address The Bay,501,Beach Front,1,4750038,,Emaar,Off Plan
Address The Bay,2406,Beach Front,1,3136110,,Emaar,Off Plan
Address The Bay,2407,Beach Front,1,2864860,,Emaar,Off Plan
Address The Bay,2408,Beach Front,2,4314860,,Emaar,Off Plan
Address The Bay,2409,Beach Front,3,9103610,,Emaar,Off Plan
Address The Bay,2410,Beach Front,2,6184860,,Emaar,Off Plan
Address The Bay,4505,Beach Front,2,5649038,,Emaar,Off Plan
Address The Bay,4507,Beach Front,3,10787838,,Emaar,Off Plan
Address The Bay,4508,Beach Front,2,9597388,,Emaar,Off Plan
Beachgate Address,2304,Beach Front,3,7596836,,Emaar,Off Plan
Beachgate Address,2405,Beach Front,3,7361992,,Emaar,Off Plan
Beachgate Address,3005,Beach Front,3,7442932,,Emaar,Off Plan
Beachgate Address,3105,Beach Front,3,7457752,,Emaar,Off Plan
Beachgate Address,3205,Beach Front,3,7471432,,Emaar,Off Plan
Beachgate Address,3305,Beach Front,3,7485112,,Emaar,Off Plan
Grand Bleu Tower T2,1601,Beach Front,1,3500000,,Emaar,Ready
Beach Mansion T1,2301,Beach Front,4,10186948,,Emaar,Off Plan
Beach Mansion T1,2302,Beach Front,3,7112998,,Emaar,Off Plan
Beach Mansion T1,2303,Beach Front,4,10205848,,Emaar,Off Plan
Beach Mansion T1,2304,Beach Front,3,5769748,,Emaar,Off Plan
Beach Mansion T1,2305,Beach Front,3,6093748,,Emaar,Off Plan
Beach Mansion T1,2306,Beach Front,3,5803498,,Emaar,Off Plan
Bayview T1,4001,Beach Front,4,17607577,,Emaar,Off Plan
Bayview T1,4002,Beach Front,3,10919577,,Emaar,Off Plan
Bayview T1,4003,Beach Front,1,4615477,,Emaar,Off Plan
Bayview T1,4004,Beach Front,3,10919577,,Emaar,Off Plan
Bayview T1,4005,Beach Front,4,17607577,,Emaar,Off Plan
Bayview T1,4006,Beach Front,1,4615477,,Emaar,Off Plan
SeapointT1,4101,Beach Front,4,16159977,,Emaar,Off Plan
Seapoint T1,4102,Beach Front,3,8852677,,Emaar,Off Plan
Seapoint T1,4103,Beach Front,3,8810877,,Emaar,Off Plan
Seapoint T1,4104,Beach Front,3,9959277,,Emaar,Off Plan
Seapoint T1,4105,Beach Front,4,16159977,,Emaar,Off Plan
Seapoint T2,1501,Beach Front,1,3303177,,Emaar,Off Plan
Seapoint T2,1502,Beach Front,2,5676977,,Emaar,Off Plan
Seapoint T2,1508,Beach Front,2,7642677,,Emaar,Off Plan
Seapoint T2,1509,Beach Front,1,3371377,,Emaar,Off Plan
Seapoint T2,1510,Beach Front,1,3380177,,Emaar,Off Plan
Seapoint T2,1703,Beach Front,2,6347977,,Emaar,Off Plan
Seapoint T2,1704,Beach Front,1,3386777,,Emaar,Off Plan
Seapoint T2,1705,Beach Front,1,3538577,,Emaar,Off Plan
Seapoint T2,1706,Beach Front,1,3552877,,Emaar,Off Plan
Seapoint T2,1707,Beach Front,2,7510677,,Emaar,Off Plan
Seapoint T2,3503,Beach Front,2,6555877,,Emaar,Off Plan
Seapoint T2,3504,Beach Front,2,5356877,,Emaar,Off Plan
Seapoint T2,3505,Beach Front,2,5541677,,Emaar,Off Plan
Seapoint T2,3506,Beach Front,3,10351977,,Emaar,Off Plan
Seapoint T2,3703,Beach Front,2,6567977,,Emaar,Off Plan
Seapoint T2,3704,Beach Front,2,5366777,,Emaar,Off Plan
Seapoint T2,3705,Beach Front,2,5551577,,Emaar,Off Plan
Seapoint T2,3706,Beach Front,3,10370677,,Emaar,Off Plan
Address Marjan Building 2,408,Marjan Island,2,3836021,,Emaar,Off Plan
Address Marjan Building 2,604,Marjan Island,2,3766764,,Emaar,Off Plan
Address Marjan Building 2,907,Marjan Island,3,5775004,,Emaar,Off Plan
Address Marjan Building 2,1005,Marjan Island,3,5785404,,Emaar,Off Plan
Address Marjan Building 2,1007,Marjan Island,3,5785404,,Emaar,Off Plan
Address Marjan Building 2,1608,Marjan Island,2,3851004,,Emaar,Off Plan
Address Marjan Building 2,1804,Marjan Island,2,3854124,,Emaar,Off Plan
Address Marjan Building 2,1808,Marjan Island,2,3865564,,Emaar,Off Plan
The Oasis Palmiera,V209,The Oasis - Palmiera,5,16628079,8268,Emaar,Off Plan
The Oasis Palmiera,V181,The Oasis - Plamiera,4,10878350,8267,Emaar,Off Plan
The Oasis Palmiera,V231,The Oasis - Palmiera,4,12262179,8267,Emaar,Off Plan
The Oasis Mirage,V155,The Oasis - Mirage,6,24055382,18724,Emaar,Off Plan
The Oasis Mirage,V191,The Oasis - Mirage,6,24000000,15757,Emaar,Off Plan
Nima V,110,Valley,3,2617312,2348,Emaar,Off Plan
Nima,V113,Valley,3,2617312,2348,Emaar,Off Plan
Nima,V114,Valley,4,3681454,3108,Emaar,Off Plan
Land P,ET6,Emirates Hills,,70000000,,Emaar,Land
Lamborgini Villa,V6,District 11,5,19500000,7335,Amis,Off Plan
Lamborgini Villa,V17,District 11,5,19000000,7335,Amis,Off Plan
District One Phase 3,102,Mohammed Bin Rashid,1,170000,,Nakheel,-
Sunrise Bay,1008,Marsa Dubai,2,400000,,Emaar,-
Sunrise Bay,1308,Marsa Dubai,2,400000,,Emaar,-
Bluewaters Bldg 2,505,Marsa Dubai,2,500000,,Emaar,-
Liv,1601,Marsa Dubai,2,200000,,Liv,-
Silverene,2701,Marsa Dubai,3,320000,,Palma Holdings,-
Silverene,3101,Marsa Dubai,3,320000,,Palma Holdings,-
District One Phase 3,507,Mohammed Bin Rashid,2,250000,,Nakheel,-
Address Harbour Point,6401,Creek Harbour,4,900000,,Emaar,-
Grand Bleu T2,1601,Beachfront,1,220000,,Emaar,-
Bluewaters Bldg 2,510,Bluewaters,3,650000,,Nakheel,-
Grand Bleu Tower T2,1604,Beachfront,2,300000,,Emaar,-
Grand Bleu Tower T2,1607,Beachfront,2,300000,,Emaar,-
Il Primo,3602,Downtown,4,2700000,,Emaar,Ready
Sunrise Bay,1207,Marsa Dubai,3,540000,,Emaar,-
